fid,x,y,fid2,x2,y2,length
"1",12.50222599,41.90065145,"2",12.53466449,41.88106283,3461.421
"2",12.53466449,41.88106283,"3",12.55336293,41.85385764,3397.144
"3",12.55336293,41.85385764,"4",12.57206137,41.82665245,3397.432
"4",12.57206137,41.82665245,"5",12.59789449,41.80479258,3240.728
"5",12.59789449,41.80479258,"6",12.62414999,41.80482895,2181.927
"6",12.62414999,41.80482895,"7",12.65039574,41.81715895,2575.235
"7",12.65039574,41.81715895,"8",12.67664149,41.82948895,2574.883
"8",12.67664149,41.82948895,"9",12.73057449,41.83235533,4491.497
"9",12.73057449,41.83235533,"10",12.75175624,41.83901083,1908.417
"10",12.75175624,41.83901083,"11",12.78626156,41.83383227,2923.248
"11",12.78626156,41.83383227,"12",12.82076687,41.8286537,2923.473
"12",12.82076687,41.8286537,"13",12.82855549,41.81499895,1648.907
"13",12.82855549,41.81499895,"14",12.85213262,41.79076908,3328.933
"14",12.85213262,41.79076908,"15",12.88063103,41.78487839,2457.633
"15",12.88063103,41.78487839,"16",12.90912943,41.77898771,2457.841
"16",12.90912943,41.77898771,"17",12.93762784,41.77309702,2458.051
"17",12.93762784,41.77309702,"18",12.96612624,41.76720633,2458.259
"18",12.96612624,41.76720633,"19",12.98362874,41.75431908,2041.406
"19",12.98362874,41.75431908,"20",13.00113124,41.74143183,2041.612
"20",13.00113124,41.74143183,"21",13.01977262,41.73306433,1807.945
"21",13.01977262,41.73306433,"22",13.04327487,41.73431033,1960.168
"22",13.04327487,41.73431033,"23",13.08130862,41.72184633,3454.059
"23",13.08130862,41.72184633,"24",13.10853862,41.70831539,2719.117
"24",13.10853862,41.70831539,"25",13.13576862,41.69478446,2719.511
"25",13.13576862,41.69478446,"26",13.16299862,41.68125352,2719.905
"26",13.16299862,41.68125352,"27",13.19022862,41.66772258,2720.299
"27",13.19022862,41.66772258,"28",13.22485387,41.6564597,3143.477
"28",13.22485387,41.6564597,"29",13.24093212,41.66064883,1417.715
"29",13.24093212,41.66064883,"30",13.27731724,41.63451533,4196.72
"30",13.27731724,41.63451533,"31",13.32460787,41.6281807,4002.913
"31",13.32460787,41.6281807,"32",13.33994924,41.61416283,2014.613
"32",13.33994924,41.61416283,"33",13.32995399,41.57998558,3886.305
"33",13.32995399,41.57998558,"34",13.35083437,41.55277295,3488.273
"34",13.35083437,41.55277295,"35",13.36673424,41.5438277,1657.373
"35",13.36673424,41.5438277,"36",13.38546799,41.54637408,1588.489
"36",13.38546799,41.54637408,"37",13.41328637,41.53226195,2800.918
"37",13.41328637,41.53226195,"38",13.45093062,41.5335367,3144.748
"38",13.45093062,41.5335367,"39",13.49230287,41.5215462,3700.865
"39",13.49230287,41.5215462,"40",13.52333337,41.52548108,2626.602
"40",13.52333337,41.52548108,"41",13.55436387,41.52941595,2626.448
"41",13.55436387,41.52941595,"42",13.59268512,41.52957833,3198.276
"42",13.59268512,41.52957833,"43",13.63100637,41.5297407,3198.268
"43",13.63100637,41.5297407,"44",13.64288212,41.52721908,1029.953
"44",13.64288212,41.52721908,"45",13.65202074,41.52452158,819.465
"45",13.65202074,41.52452158,"46",13.68648181,41.51115427,3237.099
"46",13.68648181,41.51115427,"47",13.72094287,41.49778695,3237.624
"47",13.72094287,41.49778695,"48",13.76244943,41.48779052,3639.498
"48",13.76244943,41.48779052,"49",13.80395599,41.47779408,3640.005
"49",13.80395599,41.47779408,"50",13.81730912,41.47750033,1115.796
"50",13.81730912,41.47750033,"51",13.82909662,41.48274133,1143.715
"51",13.82909662,41.48274133,"52",13.83226237,41.4841932,309.687
"52",13.83226237,41.4841932,"53",13.83248721,41.48368406,59.583
"53",13.83248721,41.48368406,"54",13.83742074,41.48346908,412.726
"54",13.83742074,41.48346908,"55",13.84835299,41.47567883,1257.902
"55",13.84835299,41.47567883,"56",13.84970024,41.45827908,1935.742
"56",13.84970024,41.45827908,"57",13.85988999,41.44872883,1360.125
"57",13.85988999,41.44872883,"58",13.89429187,41.43947558,3053.057
"58",13.89429187,41.43947558,"59",13.92293943,41.43851007,2396.605
"59",13.92293943,41.43851007,"60",13.93780463,41.44277853,1329.698
"60",13.93780463,41.44277853,"61",13.96220485,41.44158084,2043.47
"61",13.96220485,41.44158084,"62",13.99727034,41.42834078,3278.971
"62",13.99727034,41.42834078,"63",14.01880403,41.44246299,2387.295
"63",14.01880403,41.44246299,"64",14.02917899,41.46932508,3106.764
"64",14.02917899,41.46932508,"65",14.04705774,41.48210633,2060.386
"65",14.04705774,41.48210633,"66",14.04884724,41.48302808,181.156
"66",14.04884724,41.48302808,"67",14.04891844,41.48296683,9.035
"67",14.04891844,41.48296683,"68",14.05202037,41.4846602,320.132
"68",14.05202037,41.4846602,"69",14.08850687,41.50337052,3687.952
"69",14.08850687,41.50337052,"70",14.12499337,41.52208083,3687.231
"70",14.12499337,41.52208083,"71",14.15991599,41.52947795,3028.318
"71",14.15991599,41.52947795,"72",14.16044274,41.54560133,1791.272
"72",14.16044274,41.54560133,"73",14.18115837,41.5612222,2448.842
"73",14.18115837,41.5612222,"74",14.24174449,41.56305583,5057.972
"74",14.24174449,41.56305583,"75",14.24284687,41.5886037,2838.965
"75",14.24284687,41.5886037,"76",14.23398074,41.59541158,1057.446
"76",14.23398074,41.59541158,"77",14.23549274,41.5969707,214.189
"77",14.23549274,41.5969707,"78",14.23824324,41.5998077,389.7
"78",14.23824324,41.5998077,"79",14.26686462,41.60022783,2386.551
"79",14.26686462,41.60022783,"80",14.28563924,41.57803933,2919.553
"80",14.28563924,41.57803933,"81",14.32600774,41.58883108,3573.302
"81",14.32600774,41.58883108,"82",14.32655049,41.58827545,76.527
"82",14.32655049,41.58827545,"83",14.32656098,41.58826663,1.313
"83",14.32656098,41.58826663,"84",14.32765374,41.58738595,133.678
"84",14.32765374,41.58738595,"85",14.32862024,41.58647658,129.212
"85",14.32862024,41.58647658,"86",14.32895924,41.58624008,38.588
"86",14.32895924,41.58624008,"87",14.32900787,41.58615195,10.595
"87",14.32900787,41.58615195,"88",14.34369143,41.56423745,2724.645
"88",14.34369143,41.56423745,"89",14.35837499,41.54232295,2724.822
"89",14.35837499,41.54232295,"90",14.39116062,41.53317858,2918.31
"90",14.39116062,41.53317858,"91",14.41201231,41.52184652,2147.715
"91",14.41201231,41.52184652,"92",14.432864,41.51051446,2147.959
"92",14.432864,41.51051446,"93",14.45371568,41.49918239,2148.204
"93",14.45371568,41.49918239,"94",14.47456737,41.48785033,2148.448
"94",14.47456737,41.48785033,"95",14.47457328,41.48784495,0.775
"95",14.47457328,41.48784495,"96",14.48440874,41.47958958,1231.013
"96",14.48440874,41.47958958,"97",14.52157574,41.47324695,3183.347
"97",14.52157574,41.47324695,"98",14.53493799,41.47086258,1147.16
"98",14.53493799,41.47086258,"99",14.54422112,41.45807258,1618.41
"99",14.54422112,41.45807258,"100",14.58614812,41.45325558,3543.746
"100",14.58614812,41.45325558,"101",14.58712287,41.46367795,1160.399
"101",14.58712287,41.46367795,"102",14.59897424,41.46780783,1091.152
"102",14.59897424,41.46780783,"103",14.58630199,41.4813712,1841.094
"103",14.58630199,41.4813712,"104",14.59590612,41.49341195,1559.372
"104",14.59590612,41.49341195,"105",14.59621099,41.49348245,26.635
"105",14.59621099,41.49348245,"106",14.59787649,41.4938862,146.127
"106",14.59787649,41.4938862,"107",14.59904249,41.49421845,104.123
"107",14.59904249,41.49421845,"108",14.59945299,41.4943717,38.271
"108",14.59945299,41.4943717,"109",14.60397374,41.50633383,1381.138
"109",14.60397374,41.50633383,"110",14.58860349,41.5100152,1346.76
"110",14.58860349,41.5100152,"111",14.59737549,41.52327233,1644.416
"111",14.59737549,41.52327233,"112",14.63184412,41.53474358,3146.216
"112",14.63184412,41.53474358,"113",14.66216862,41.55575233,3441.86
"113",14.66216862,41.55575233,"114",14.66240712,41.5559242,27.573
"114",14.66240712,41.5559242,"115",14.66266037,41.5564407,61.132
"115",14.66266037,41.5564407,"116",14.66403637,41.55812783,219.746
"116",14.66403637,41.55812783,"117",14.66474724,41.55902408,115.867
"117",14.66474724,41.55902408,"118",14.66505037,41.55946458,55.073
"118",14.66505037,41.55946458,"119",14.66521862,41.55968358,28.082
